transaction_id,amount,hour,distance_from_home_km,merchant_risk_score,transactions_last_24h,card_present,international,online_transaction,fraud
TXN000186,125.93,6.0,2.21,0.763,4.0,1,0,1,0
TXN000187,32.56,16.0,6.46,0.952,0.0,0,1,0,0
TXN000188,7.97,3.0,14.68,0.14,5.0,0,0,0,1
TXN000189,6.9,10.0,1.83,0.96,3.0,0,0,0,1
TXN000190,141.31,18.0,17.56,0.595,3.0,0,0,0,0
TXN000191,151.97,3.0,13.7,0.642,7.0,1,0,0,0
TXN000192,22.66,11.0,19.3,0.71,2.0,0,0,1,0
TXN000193,18.48,5.0,1.44,0.704,0.0,1,0,0,0
TXN000194,116.91,12.0,5.24,0.82,1.0,1,0,0,0
TXN000195,8.96,5.0,29.63,0.483,4.0,1,0,1,0
TXN000196,11.08,23.0,0.43,0.533,3.0,1,0,1,0
TXN000197,51.59,1.0,31.35,0.324,2.0,0,0,0,0
TXN000198,18.27,23.0,23.49,0.105,3.0,0,0,0,0
TXN000199,26.97,19.0,1.75,0.665,4.0,0,0,1,0
TXN000200,23.02,20.0,3.01,0.034,4.0,0,0,0,0
TXN000201,38.0,20.0,27.05,0.276,1.0,1,0,1,0
TXN000202,110.77,4.0,11.88,0.094,1.0,1,0,1,0
TXN000203,29.68,22.0,9.87,0.191,3.0,0,0,0,0
TXN000204,51.62,14.0,5.6,0.639,2.0,1,0,0,0
TXN000205,3.49,23.0,10.3,0.628,2.0,0,0,0,0
TXN000206,25.82,21.0,7.99,0.421,4.0,1,0,0,0
TXN000207,11.67,13.0,9.52,0.09,2.0,1,1,0,0
TXN000208,8.01,8.0,31.98,0.433,2.0,1,0,1,0
TXN000209,11.27,2.0,0.63,0.353,5.0,1,1,1,0
TXN000210,19.41,2.0,39.36,0.72,3.0,0,1,1,1
TXN000211,67.76,9.0,6.09,0.579,7.0,0,0,1,1
TXN000212,7.2,19.0,5.97,0.492,0.0,1,0,1,0
TXN000213,27.96,12.0,20.37,0.487,3.0,1,0,0,0
TXN000214,16.71,11.0,35.33,0.966,3.0,1,1,0,1
TXN000215,19.54,5.0,14.71,0.756,4.0,1,0,1,0
TXN000216,73.9,13.0,4.98,0.497,2.0,1,0,1,0
TXN000217,46.44,15.0,1.97,0.479,3.0,1,0,0,0
TXN000218,103.28,23.0,9.72,0.026,2.0,1,0,1,0
TXN000219,23.23,17.0,1.39,0.943,4.0,1,0,0,0
TXN000220,13.52,14.0,34.29,0.319,1.0,1,0,0,0
TXN000221,21.67,21.0,6.25,0.256,3.0,0,0,1,0
TXN000222,34.55,10.0,23.27,0.999,0.0,1,0,0,0
TXN000223,32.35,22.0,29.46,0.719,4.0,1,1,0,1
TXN000224,9.17,8.0,15.45,0.047,6.0,0,0,1,0
TXN000225,29.68,3.0,23.82,0.062,2.0,0,0,1,0
TXN000226,34.06,10.0,15.02,0.026,1.0,0,0,0,0
TXN000227,336.12,3.0,7.65,0.6,0.0,1,0,1,0
TXN000228,177.12,2.0,22.68,0.072,3.0,1,0,0,0
TXN000229,11.55,21.0,21.02,0.933,3.0,0,0,1,0
TXN000230,20.34,19.0,2.75,0.937,4.0,1,0,0,0
TXN000231,6.27,5.0,25.53,0.546,4.0,1,0,1,0
TXN000232,15.02,20.0,8.09,0.617,1.0,0,1,1,0
TXN000233,37.17,1.0,48.28,0.292,1.0,1,0,0,0
TXN000234,90.55,6.0,33.28,0.064,4.0,0,0,0,0
TXN000235,13.08,16.0,13.0,0.737,1.0,0,0,0,0
TXN000236,14.1,7.0,16.85,0.102,1.0,1,0,1,0
TXN000237,3.17,17.0,2.55,0.086,5.0,0,0,1,0
TXN000238,23.04,20.0,12.14,0.311,6.0,1,0,1,0
TXN000239,9.37,1.0,10.52,0.012,1.0,0,0,1,0
TXN000240,15.97,0.0,8.28,0.434,2.0,0,0,0,0
TXN000241,11.28,22.0,11.05,0.708,0.0,0,0,1,0
TXN000242,24.67,12.0,74.63,0.801,1.0,1,0,0,0
TXN000243,4.68,12.0,2.71,0.604,1.0,0,0,1,0
TXN000244,6.25,11.0,1.62,0.847,4.0,0,0,0,0
TXN000245,227.98,10.0,10.81,0.407,2.0,1,0,1,0
TXN000246,7.48,16.0,7.21,0.849,1.0,1,0,0,0
TXN000247,9.05,13.0,18.67,0.506,2.0,1,0,0,0
TXN000248,170.19,3.0,5.05,0.223,1.0,0,0,0,0
TXN000249,495.25,15.0,34.88,0.944,2.0,1,0,1,0
TXN000250,8.4,16.0,29.56,0.275,1.0,1,0,0,0
TXN000251,18.76,2.0,3.74,0.026,6.0,0,1,0,0
TXN000252,38.15,9.0,2.43,0.243,1.0,0,1,0,0
TXN000253,152.73,18.0,20.38,0.367,2.0,0,0,0,0
TXN000254,10.11,14.0,0.61,0.351,2.0,1,0,1,0
TXN000255,21.22,3.0,5.51,0.525,3.0,1,0,1,0
TXN000256,58.99,0.0,36.16,0.883,2.0,1,0,1,1
TXN000257,41.88,13.0,2.46,0.292,5.0,1,0,1,0
TXN000258,18.61,11.0,15.5,0.521,3.0,0,0,0,0
TXN000259,23.72,23.0,11.22,0.34,3.0,1,0,0,0
TXN000260,6.86,12.0,59.86,0.822,8.0,1,1,1,1
TXN000261,21.37,22.0,8.21,0.158,4.0,1,0,1,0
TXN000262,20.77,5.0,30.52,0.104,4.0,1,0,0,0
TXN000263,34.2,10.0,42.47,0.503,2.0,0,0,1,0
TXN000264,15.56,3.0,2.94,0.672,3.0,0,1,0,0
TXN000265,43.45,13.0,11.69,0.796,6.0,1,0,0,0
TXN000266,74.64,4.0,13.41,0.59,2.0,1,1,0,0
TXN000267,31.67,11.0,11.56,0.774,2.0,1,0,1,0
TXN000268,38.54,8.0,31.42,0.393,3.0,1,0,1,0
TXN000269,28.59,4.0,0.92,0.033,2.0,0,0,0,0
TXN000270,27.11,2.0,4.85,0.116,3.0,1,0,1,0
TXN000271,13.18,12.0,3.81,0.039,0.0,1,0,1,0
TXN000272,37.21,22.0,1.58,0.329,3.0,0,0,0,0
TXN000273,24.6,4.0,4.67,0.495,2.0,1,0,1,0
TXN000274,219.9,9.0,6.85,0.356,1.0,1,0,0,0
TXN000275,130.76,5.0,7.05,0.561,5.0,1,0,0,1
TXN000276,39.88,19.0,0.56,0.481,1.0,1,0,0,0
TXN000277,12.64,9.0,13.1,0.678,5.0,1,0,0,0
TXN000278,8.91,23.0,3.11,0.667,1.0,0,0,0,0
TXN000279,89.22,5.0,9.52,0.318,3.0,0,0,0,0
TXN000280,35.26,1.0,11.76,0.346,6.0,1,0,0,0
TXN000281,43.82,13.0,16.28,0.585,5.0,1,0,1,0
TXN000282,4.74,15.0,8.58,0.596,2.0,1,0,1,0
TXN000283,68.54,23.0,1.55,0.315,4.0,1,0,0,0
TXN000284,42.71,20.0,0.21,0.33,3.0,1,0,0,0
TXN000285,8.93,21.0,8.98,0.694,1.0,1,0,0,0
TXN000286,16.92,15.0,28.55,0.647,4.0,1,1,1,0
TXN000287,35.29,8.0,63.0,0.135,2.0,0,0,1,1
TXN000288,28.57,10.0,23.62,0.441,3.0,0,0,0,0
TXN000289,20.24,3.0,7.97,0.893,2.0,1,0,1,1
TXN000290,24.45,10.0,48.15,0.036,5.0,0,0,1,0
TXN000291,21.07,8.0,43.15,0.855,3.0,1,1,1,0
TXN000292,31.58,0.0,26.15,0.163,1.0,0,1,0,0
TXN000293,118.1,4.0,44.41,0.507,3.0,1,0,0,0
TXN000294,2.08,12.0,24.74,0.424,3.0,1,0,1,0
TXN000295,21.39,8.0,13.41,0.01,2.0,1,0,0,0
TXN000296,32.35,23.0,27.89,0.915,2.0,1,1,0,1
TXN000297,36.45,11.0,17.9,0.455,2.0,1,0,0,0
TXN000298,18.69,23.0,41.28,0.954,3.0,1,1,0,0
TXN000299,4.68,15.0,4.42,0.287,2.0,1,0,1,0
TXN000300,37.64,0.0,2.7,0.866,7.0,1,0,1,0
TXN000301,152.53,4.0,10.97,0.922,3.0,1,0,0,0
TXN000302,5.85,16.0,2.17,0.557,3.0,1,0,1,0
TXN000303,64.32,13.0,11.23,0.203,5.0,1,0,0,0
TXN000304,19.52,7.0,20.42,0.685,4.0,1,0,1,0
TXN000305,25.5,12.0,34.31,0.549,4.0,1,0,0,0
TXN000306,9.46,21.0,62.99,0.945,2.0,1,0,1,1
TXN000307,19.41,9.0,6.82,0.439,1.0,0,0,1,0
TXN000308,99.49,1.0,8.67,0.269,1.0,1,0,1,0
TXN000309,48.55,7.0,7.88,0.138,1.0,1,0,1,0
TXN000310,153.29,22.0,0.84,0.699,3.0,1,0,0,0
TXN000311,88.01,18.0,3.12,0.974,2.0,1,1,1,0
TXN000312,42.06,20.0,1.92,0.028,3.0,1,1,1,0
TXN000313,155.08,21.0,14.82,0.74,4.0,1,0,0,0
TXN000314,42.06,2.0,10.08,0.927,0.0,0,0,1,0
TXN000315,62.05,6.0,50.56,0.075,5.0,1,0,0,0
TXN000316,20.15,1.0,0.51,0.11,4.0,1,0,0,0
TXN000317,28.98,0.0,5.73,0.692,4.0,1,0,1,0
TXN000318,13.5,20.0,9.09,0.648,0.0,1,0,0,0
TXN000319,72.94,22.0,16.39,0.069,1.0,0,0,0,0
TXN000320,8.35,3.0,4.72,0.834,2.0,1,0,0,0
TXN000321,59.28,17.0,6.74,0.523,3.0,1,0,1,0
TXN000322,22.41,12.0,4.8,0.907,2.0,0,1,1,0
TXN000323,87.47,1.0,20.72,0.878,3.0,1,0,0,0
TXN000324,57.45,21.0,4.74,0.813,2.0,1,1,1,0
TXN000325,167.44,20.0,22.36,0.516,2.0,0,0,1,0
TXN000326,56.3,13.0,22.47,0.252,3.0,1,0,1,0
TXN000327,5.63,16.0,13.68,0.506,4.0,1,1,1,0
TXN000328,25.36,9.0,6.57,0.101,4.0,0,0,1,0
TXN000329,8.4,19.0,2.11,0.659,4.0,1,0,0,0
TXN000330,16.15,10.0,10.18,0.134,5.0,1,0,0,0
TXN000331,122.88,23.0,20.21,0.511,5.0,1,0,1,0
TXN000332,51.29,1.0,171.33,0.054,2.0,1,0,0,0
TXN000333,13.48,4.0,6.72,0.3,4.0,1,0,0,0
TXN000334,9.84,23.0,2.58,0.232,2.0,1,0,0,0
TXN000335,28.02,6.0,1.64,0.62,2.0,1,0,0,0
TXN000336,8.03,7.0,39.92,0.787,2.0,0,0,1,0
TXN000337,13.86,18.0,12.36,0.057,2.0,1,0,0,0
TXN000338,37.04,4.0,6.36,0.85,3.0,0,0,1,0
TXN000339,86.08,12.0,10.55,0.861,6.0,0,0,1,0
TXN000340,49.84,6.0,7.32,0.342,5.0,0,0,0,0
TXN000341,2.74,4.0,9.97,0.659,4.0,0,1,0,0
TXN000342,36.76,23.0,17.54,0.403,5.0,0,0,0,0
TXN000343,29.14,4.0,4.59,0.154,1.0,1,0,0,0
TXN000344,41.01,2.0,24.28,0.529,4.0,1,0,0,0
TXN000345,136.48,16.0,28.42,0.086,3.0,0,0,1,0
TXN000346,3.44,20.0,2.6,0.878,4.0,1,0,0,0
TXN000347,15.01,3.0,2.84,0.924,3.0,1,0,0,0
TXN000348,48.96,16.0,10.19,0.822,4.0,0,0,0,0
TXN000349,5.58,12.0,24.48,0.563,3.0,1,0,0,0
TXN000350,118.62,19.0,8.07,0.558,2.0,1,0,0,0
TXN000351,39.19,3.0,92.48,0.985,1.0,1,0,1,1
TXN000352,63.22,23.0,29.62,0.248,2.0,1,0,0,0
TXN000353,15.32,14.0,0.97,0.076,1.0,1,0,0,0
TXN000354,61.18,20.0,15.77,0.562,5.0,1,0,1,0
TXN000355,78.92,8.0,23.86,0.329,2.0,0,0,1,0
TXN000356,34.22,22.0,,0.322,3.0,1,0,1,0
TXN000357,34.27,15.0,34.0,0.007,3.0,1,0,0,0
TXN000358,35.53,3.0,4.42,0.596,4.0,0,0,1,1
TXN000359,11.43,22.0,4.2,0.264,0.0,0,1,0,0
TXN000360,23.39,19.0,16.93,0.188,2.0,1,0,1,0
TXN000361,23.28,7.0,1.19,0.04,6.0,1,0,0,0
TXN000362,39.78,13.0,18.79,0.364,4.0,1,0,1,0
TXN000363,73.69,9.0,5.05,0.879,5.0,0,0,1,0
TXN000364,9.41,13.0,4.3,0.337,2.0,1,0,1,0
TXN000365,23.93,23.0,21.68,0.679,1.0,1,0,0,0
TXN000366,119.28,21.0,12.31,0.757,3.0,0,0,1,1
TXN000367,12.89,5.0,22.82,0.328,4.0,1,0,1,0
TXN000368,11.91,23.0,14.11,0.822,2.0,1,0,0,0
TXN000369,33.19,10.0,38.56,0.692,2.0,0,0,0,0
TXN000370,63.08,16.0,28.66,0.559,5.0,0,0,0,0
TXN000371,27.42,18.0,8.84,0.001,5.0,1,1,0,0
TXN000372,102.41,11.0,18.83,0.035,3.0,1,0,1,0
TXN000373,63.87,10.0,2.2,0.991,2.0,1,0,0,0
TXN000374,62.92,10.0,21.69,0.782,2.0,1,0,1,0
TXN000375,47.19,20.0,2.1,0.938,5.0,1,0,1,0
TXN000376,278.01,9.0,0.33,0.902,5.0,0,0,1,0
TXN000377,22.08,6.0,9.27,0.02,8.0,1,0,1,0
TXN000378,3.66,8.0,7.84,0.792,4.0,1,0,1,0
TXN000379,134.86,4.0,20.46,0.451,3.0,1,1,0,0
TXN000380,17.16,9.0,1.54,0.79,2.0,0,1,0,1
TXN000381,30.2,2.0,41.25,0.007,1.0,1,0,1,0
TXN000382,100.44,2.0,33.0,0.288,4.0,1,0,1,0
TXN000383,5.46,17.0,49.91,0.751,3.0,1,0,0,0
TXN000384,7.76,1.0,1.8,0.793,5.0,1,0,1,1
TXN000385,5.47,13.0,7.72,0.62,0.0,0,0,1,0
TXN000386,12.25,18.0,3.38,0.301,3.0,0,0,0,0
TXN000387,42.08,17.0,4.42,0.31,8.0,1,0,1,0
TXN000388,45.8,10.0,10.49,0.967,3.0,1,0,1,0
TXN000389,35.74,4.0,5.52,0.439,3.0,0,0,0,0
TXN000390,6.6,22.0,4.49,0.447,5.0,1,1,0,0
TXN000391,2.69,20.0,8.0,0.552,5.0,0,0,0,0
TXN000392,28.63,14.0,13.74,0.41,2.0,1,0,1,0
TXN000393,16.92,2.0,3.33,0.553,5.0,1,0,0,0
TXN000394,42.92,0.0,7.3,0.432,5.0,1,1,1,0
TXN000395,54.7,7.0,11.32,0.827,2.0,1,0,1,0
TXN000396,31.13,3.0,37.19,0.909,4.0,1,0,1,0
TXN000397,57.98,20.0,13.82,0.932,3.0,0,0,0,0
TXN000398,34.1,4.0,49.8,0.564,3.0,1,0,0,0
TXN000399,46.07,6.0,53.82,0.442,2.0,1,0,0,0
TXN000400,13.4,23.0,3.9,0.705,4.0,1,0,0,0
TXN000401,22.66,19.0,1.75,0.838,4.0,0,0,0,0
TXN000402,33.01,5.0,53.06,0.563,1.0,1,0,0,0
TXN000403,61.59,9.0,43.64,0.7,4.0,1,0,0,0
TXN000404,18.29,12.0,74.67,0.75,1.0,1,1,1,0
TXN000405,45.66,15.0,25.7,0.676,6.0,1,0,0,0
TXN000406,20.78,22.0,1.92,0.746,2.0,0,0,0,0
TXN000407,24.11,20.0,17.04,0.209,1.0,1,0,1,0
TXN000408,62.15,23.0,13.55,0.498,2.0,1,1,0,1
